ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Compactness	AreaShape_Eccentricity	AreaShape_EulerNumber	AreaShape_Extent	AreaShape_FormFactor	AreaShape_MajorAxisLength	AreaShape_MaxFeretDiameter	AreaShape_MaximumRadius	AreaShape_MeanRadius	AreaShape_MedianRadius	AreaShape_MinFeretDiameter	AreaShape_MinorAxisLength	AreaShape_Orientation	AreaShape_Perimeter	AreaShape_Solidity	Children_cytoplasm_nucplus_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_nuclei
1	1			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	11450	306.0	109.0	1.0	1.045451791079109	0.6621082489097242	1.0	0.7421571169302567	0.8472471598169766	139.47056672483902	138.7155362603627	50.774009099144415	19.343503993474148	17.26267650163207	101.8922153875456	104.52038789748583	26.959590443517488	412.0999999999988	0.9817792068595927	0	301.7359825327511	109.12934497816593	0	1	1
1	2			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	39937	561.0	90.0	1.0	1.1452461295502068	0.8025318437287359	1.0	0.6772656355989689	0.7722193082287853	292.4593963320972	302.6945655276949	85.95929269136641	36.90083989502219	34.9857113690718	173.21472646231507	174.48399154633097	43.806050328079564	806.1619999999964	0.9833429770888991	1	572.663219570824	107.8003104890202	0	2	2
1	3			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	11521	441.0	214.0	1.0	1.03578998389896	0.6149776973904164	1.0	0.744250645994832	0.8335589492907093	136.6463484515926	136.69308687713507	52.0	19.376325154451884	17.26267650163207	105.90605186718412	107.7517267966338	31.733188661434724	416.7559999999988	0.980093577201191	0	445.9637184272199	213.57208575644475	0	3	3
1	4			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	36216	1203.0	224.0	1.0	1.5134806312542004	0.9171139514585025	1.0	0.6430397727272728	0.5595288241127477	346.29170324095384	358.7199464763564	69.8927750200262	27.587335297537987	26.1725046566048	141.51908394203392	138.04057772974298	13.47876809417267	901.8699999999976	0.9086484180946885	1	1233.6008117958913	223.8690633973934	0	4	4
1	5			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	34858	1127.0	556.0	1.0	1.8484211358071285	0.9515316736016135	1.0	0.7806593209710652	0.5327762594914387	386.31094484986346	365.0493117374692	56.089214649520635	23.626029815847982	22.47220505424423	120.36043733517506	118.81022729525557	-89.80636143685861	906.7419999999976	0.920926791894534	1	1121.4078834127029	469.4793160823914	0	5	5
1	6			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	45624	102.0	575.0	1.0	2.8176022648936354	0.9795474672421651	1.0	0.548154555940023	0.3618475492591707	559.6111062941138	549.0974412615669	60.207972893961475	22.527536863805743	20.396078054371138	125.99544118038119	112.60115197311507	-5.892180219923778	1258.747999999997	0.86279181913596	1	243.09604594073295	561.922124320533	0	6	6
1	7			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	43721	232.0	724.0	1.0	1.6101403934476801	0.9226623866602287	1.0	0.5964014841490697	0.3656471004672996	394.17034871579773	446.2521708630671	72.83543093852057	26.406750197279727	23.53720459187964	163.0	151.9955416733653	-3.4620961703724853	1225.7979999999957	0.8588490664257018	1	222.107408339242	719.3832483246038	0	7	7
2	1			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	9143	1197.0	89.0	1.0	1.1174000850017443	0.7811775976038717	1.0	0.7424882247847978	0.6573810731458205	136.58867673663264	133.24038426843418	41.10960958218893	16.067886328895973	14.422205101855956	84.020923411578	85.2735219732997	-73.3639014715132	418.061999999999	0.9619653848177179	0	1200.6321776222246	77.29826096467242	0	1	1
2	2			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	13707	308.0	129.0	1.0	1.0420442652364377	0.6176681565513323	1.0	0.7571254971277066	0.7842375277726777	149.63982910108632	150.41608956491322	54.78138369920935	20.041918304788872	18.027756377319946	116.59640495952067	117.68257355154691	23.53087150135565	468.6539999999985	0.9696862509285135	1	309.58823958561317	132.88203107901072	0	2	2
2	3			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	7554	990.0	213.0	1.0	1.2885289636723276	0.7907053692659484	1.0	0.5883177570093457	0.4174540690248211	134.0485822774202	142.61135999632006	39.0	12.79608791310549	10.770329614269007	89.24281264660677	82.06412374365901	-41.196899354459504	476.8579999999987	0.8700760193503799	1	999.3019592268996	206.1412496690495	0	3	3
2	4			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	8347	1150.0	210.0	1.0	1.1039404403004685	0.4365467508286469	1.0	0.6210565476190476	0.6444270406185838	113.69244946406634	119.41942890501528	41.88078318274385	14.501151084994246	13.0	99.57793735156702	102.28700186968722	-23.15211832808655	403.4439999999989	0.9180598328200615	1	1152.290523541392	217.20881753923567	0	4	4
2	5			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	8524	692.0	225.0	1.0	1.1463980881800802	0.7779063148219671	1.0	0.6839993580484673	0.5913129813840102	133.34237307260375	137.64083696345355	41.7612260356422	14.803139943254362	13.341664064126334	89.3658109971732	83.78971656725942	76.26757558179685	425.61599999999885	0.9405274191768727	0	690.17491787893	214.35863444392305	0	5	5
