ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Perimeter	AreaShape_Solidity	Children_CaprinSG_Count	Children_SG_Count	Intensity_IntegratedIntensity_G3BP	Intensity_IntegratedIntensity_GFP	Intensity_MeanIntensity_G3BP	Intensity_MeanIntensity_GFP	Intensity_MedianIntensity_G3BP	Intensity_MedianIntensity_GFP	Intensity_StdIntensity_GFP	Location_CenterMassIntensity_X_G3BP	Location_CenterMassIntensity_X_GFP	Location_CenterMassIntensity_Y_G3BP	Location_CenterMassIntensity_Y_GFP	Location_CenterMassIntensity_Z_G3BP	Location_CenterMassIntensity_Z_GFP	Location_Center_X	Location_Center_Y	Location_MaxIntensity_X_G3BP	Location_MaxIntensity_X_GFP	Location_MaxIntensity_Y_G3BP	Location_MaxIntensity_Y_GFP	Location_MaxIntensity_Z_G3BP	Location_MaxIntensity_Z_GFP	Mean_CaprinSG_Distance_Centroid_Cytoplasm_Norm	Mean_CaprinSG_Distance_Minimum_Cytoplasm_Norm	Mean_CaprinSG_Location_Center_X	Mean_CaprinSG_Location_Center_Y	Mean_CaprinSG_Number_Object_Number	Number_Object_Number	Parent_cell	Parent_nuclei
2	16			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	24053	1041.0	870.0	1.0	1169.695999999996	0.6877591284705344	0	0	33.813504226505756	36.86247042706236	0.0014057915530913299	0.0015325518823873265	0.0013733119703829288	0.0014648661017417908	0.00021578044474655287	980.6740526036477	978.2098703442612	922.2043856228971	922.7026408011981	0.0	0.0	982.7583669396748	922.2070843553819	891.0	901.0	941.0	939.0	0.0	0.0						16	16	16
2	17			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	455	415.0	978.0	1.0	755.8119999999972	0.04849970686990354	0	0	0.6261997404508293	0.5419089035131037	0.0013762631658259983	0.0011910085791496784	0.0013733119703829288	0.001190203707665205	3.6199555459796265e-05	476.22990886495444	477.03989975784197	969.9437107071494	968.6419721799854	0.0	0.0	477.25714285714287	968.5384615384615	456.0	424.0	1011.0	995.0	0.0	0.0						17	17	17
3	1			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	431	138.0	110.0	1.0	731.4939999999975	0.050753650494583136	0	0	0.5781338214874268	0.5570763712748885	0.001341377776072916	0.0012925205830043817	0.0013427939265966415	0.0012970168609172106	4.499490980447212e-05	182.46270586993242	182.56716336145502	70.85095544763513	70.97827873342828	0.0	0.0	182.57308584686774	70.87470997679814	117.0	118.0	77.0	87.0	0.0	0.0						1	1	1
3	2			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	4824	315.0	217.0	1.0	1095.7399999999955	0.2630674846625767	0	0	6.954207673668861	7.499366748845205	0.0014415853386544075	0.0015545950971901337	0.0014343480579555035	0.0015106431674212217	0.00021770022842164012	281.84191563684874	280.89599386332054	186.59120032298836	187.80090178260772	0.0	0.0	282.5868573797678	186.24087893864012	229.0	224.0	164.0	159.0	0.0	0.0						2	2	2
3	3			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	31546	453.0	35.0	1.0	1309.2679999999946	0.68048664739635	0	0	45.094575407216325	54.75504690874368	0.0014294863186209447	0.001735720754096991	0.0014190890360623598	0.0016937514301389456	0.0002984145308958701	438.6721091418627	441.3301474874957	130.15450586121824	129.70639025162384	0.0	0.0	437.42420592151143	131.43919989856084	428.0	455.0	220.0	67.0	0.0	0.0						3	3	3
3	4			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	24915	296.0	290.0	1.0	1333.4399999999946	0.5656008444853066	0	0	36.48603035695851	45.48154420242645	0.001464420243104897	0.0018254683605228356	0.0014648661017417908	0.0017853055614978075	0.0003294264331662186	211.70325940399277	212.40611037990922	249.59844122734526	248.14200305773974	0.0	0.0	212.93734697973107	252.3544852498495	170.0	168.0	167.0	162.0	0.0	0.0						4	4	4
3	5			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	16779	859.0	246.0	1.0	1132.8099999999954	0.5392489273834585	0	0	23.452964059542865	23.7916075324174	0.0013977569616510437	0.0014179395394491568	0.0013885709922760725	0.0014038300141692162	8.125222066985105e-05	842.1977351837032	841.3748815886269	296.3289487895172	295.9432767032478	0.0	0.0	841.4057452768342	296.11931581143097	812.0	802.0	239.0	250.0	0.0	0.0						5	5	5
3	6			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	511	215.0	385.0	1.0	845.9579999999967	0.04292133887698962	0	0	0.7022507055662572	0.629037918522954	0.001374267525569975	0.0012309939697122388	0.0013580529484897852	0.001235980773344636	4.607185437350179e-05	229.66518186954065	228.89688045798565	442.457498587632	441.2049776829032	0.0	0.0	228.12328767123287	440.8825831702544	280.0	286.0	486.0	482.0	0.0	0.0						6	6	6
3	7			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	23578	571.0	443.0	1.0	1315.5159999999942	0.5783599479971545	0	0	33.68325321562588	34.96813915413804	0.001428588226975396	0.0014830833469394369	0.0014190890360623598	0.0014801251236349344	8.33490364937728e-05	489.06527086678096	489.88230334909065	468.4815822186142	467.94480583094094	0.0	0.0	489.89562303842564	467.5407159216218	472.0	538.0	534.0	426.0	0.0	0.0						7	7	7
3	8			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	4472	924.0	469.0	1.0	911.1359999999968	0.29522049115394766	0	0	6.489829860394821	6.4300144945736974	0.0014512141906070709	0.0014378386615773026	0.0014496070798486471	0.0014190890360623598	0.00010148223427209975	923.5665924464686	923.6133899395098	484.12813447101064	484.1046130553334	0.0	0.0	923.9733899821109	484.2193649373882	917.0	932.0	497.0	494.0	0.0	0.0						8	8	8
3	9			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	3855	585.0	510.0	1.0	994.9639999999964	0.23647405226352602	0	0	5.591775385895744	5.561257342109457	0.001450525391931451	0.001442608908459003	0.0014496070798486471	0.0014648661017417908	0.0001206455891000678	570.210706849644	569.8607929056103	522.3886076674753	521.3108514859092	0.0	0.0	570.5610894941634	522.8352788586252	591.0	564.0	521.0	507.0	0.0	0.0						9	9	9
3	10			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	23201	429.0	766.0	1.0	1204.6839999999963	0.6750658306297919	1	1	33.79969481169246	46.42719156621024	0.0014568206030641981	0.0020010857965695548	0.0014190890360623598	0.0018463416490703821	0.000573751912823551	505.10945738337915	496.42826642687226	769.4670896493689	769.4905758418935	0.0	0.0	509.1506831602086	769.6534201112021	441.0	440.0	777.0	773.0	0.0	0.0	56.867883291413754	3.605551275463989	535.0	719.0	1.0	10	10	10
3	11			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	1017	984.0	805.0	1.0	960.5179999999963	0.07830907830907831	0	0	1.4347600515466183	1.3476462955586612	0.0014107768451785824	0.0013251192680026167	0.0014038300141692162	0.0013275349047034979	5.105998102084716e-05	939.6219277441586	938.6363255508503	804.8596892381976	804.0411694105392	0.0	0.0	937.7168141592921	804.0216322517208	991.0	985.0	802.0	801.0	0.0	0.0						11	11	11
3	12			0	SG 40x Cap1-wt FGDF	0	11	A01	A01	22518	302.0	767.0	1.0	1347.057999999995	0.5253053083410122	7	6	32.86521705193445	44.90626381803304	0.0014595087064541456	0.001994238556622837	0.0014496070798486471	0.0018768596928566694	0.000550624085471752	204.52342997703616	200.6010594196536	803.1054130749894	806.3633896399917	0.0	0.0	206.23336886046718	801.4355626609823	148.0	146.0	816.0	825.0	0.0	0.0	64.70906134880313	4.969997494147308	235.9658274154389	744.7948230069051	5.0	12	12	12
