ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Perimeter	AreaShape_Solidity	Children_CaprinSG_Count	Children_SG_Count	Intensity_IntegratedIntensity_G3BP	Intensity_IntegratedIntensity_GFP	Intensity_MeanIntensity_G3BP	Intensity_MeanIntensity_GFP	Intensity_MedianIntensity_G3BP	Intensity_MedianIntensity_GFP	Intensity_StdIntensity_GFP	Location_CenterMassIntensity_X_G3BP	Location_CenterMassIntensity_X_GFP	Location_CenterMassIntensity_Y_G3BP	Location_CenterMassIntensity_Y_GFP	Location_CenterMassIntensity_Z_G3BP	Location_CenterMassIntensity_Z_GFP	Location_Center_X	Location_Center_Y	Location_MaxIntensity_X_G3BP	Location_MaxIntensity_X_GFP	Location_MaxIntensity_Y_G3BP	Location_MaxIntensity_Y_GFP	Location_MaxIntensity_Z_G3BP	Location_MaxIntensity_Z_GFP	Mean_CaprinSG_Distance_Centroid_Cytoplasm_Norm	Mean_CaprinSG_Distance_Minimum_Cytoplasm_Norm	Mean_CaprinSG_Location_Center_X	Mean_CaprinSG_Location_Center_Y	Mean_CaprinSG_Number_Object_Number	Number_Object_Number	Parent_cell	Parent_nuclei
1	1			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	474	299.0	211.0	1.0	798.8119999999974	0.04406023424428333	0	0	0.7035324634052813	0.5840238039381802	0.0014842457033866694	0.0012321177298273843	0.0014801251236349344	0.001235980773344636	3.4002098534964893e-05	321.98514293150566	322.48168469457073	160.00377391228906	160.02463813554894	0.0	0.0	322.44725738396625	159.8860759493671	349.0	273.0	226.0	164.0	0.0	0.0						1	1	1
1	2			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	5898	153.0	88.0	1.0	938.231999999997	0.3641415076866087	0	5	9.683283739257604	9.338078886969015	0.0016417910714238053	0.0015832619340401856	0.0016479743644595146	0.00158693827688694	0.00013188903833878193	159.87154148951927	159.9698989004381	132.9012675821076	132.79203099493276	0.0	0.0	160.68667344862666	132.39148864021703	147.0	154.0	152.0	183.0	0.0	0.0						2	2	2
1	3			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	14128	1179.0	276.0	1.0	967.9959999999966	0.6257557302624293	0	0	20.302098110783845	23.16981764929369	0.0014370114744326052	0.0016399927554709578	0.0014190890360623598	0.0016174563206732273	0.0001757983673450737	1225.8362109525906	1225.365856533771	264.42468233698963	264.5964105124095	0.0	0.0	1226.4323329558324	265.2875141562854	1261.0	1166.0	173.0	266.0	0.0	0.0						3	3	3
1	4			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	36026	789.0	151.0	1.0	1447.3619999999935	0.6036679876337375	1	3	50.15175096108578	61.18950177868828	0.0013920987886827786	0.0016984817015124711	0.0013733119703829288	0.0016632333863526583	0.00021403968939184736	912.3548458253656	909.761996471868	208.96277750141098	207.3159483637876	0.0	0.0	908.8137456281574	207.96710708932437	989.0	982.0	202.0	198.0	0.0	0.0	142.5384343303139	11.401754250991356	812.6	102.8	1.0	4	4	4
1	5			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	22511	988.0	432.0	1.0	1016.0139999999958	0.7394110594688695	4	2	32.37944608996622	45.67667657439597	0.0014383832832822274	0.002029082518519656	0.0014343480579555035	0.0019684138242155313	0.00043597208279178544	1054.471125883429	1054.5542778646907	387.58814969177473	388.8184435132913	0.0	0.0	1053.3884323219759	387.447248012083	1009.0	1080.0	417.0	352.0	0.0	0.0	55.37081169020068	18.233863444095757	1015.7791666666667	346.9125	3.5	5	5	5
1	6			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	458	900.0	473.0	1.0	769.2579999999975	0.049033777635030244	0	0	0.6633859768044204	0.5888456548564136	0.001448440997389564	0.0012856892027432612	0.0014496070798486471	0.001281757839024067	4.623893780276237e-05	852.3590569292697	853.310028504794	473.3255664174813	473.4181653278051	0.0	0.0	853.5720524017468	473.1157205240175	809.0	879.0	432.0	532.0	0.0	0.0						6	6	6
1	7			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	3319	1035.0	483.0	1.0	891.0659999999964	0.29700223713646534	0	0	4.67315174988471	5.339467458892614	0.001407999924641371	0.001608757896623264	0.0013885709922760725	0.001541161211207509	0.00022248196142834355	1047.4137467143394	1045.2324575191042	482.937685915332	480.84901206554605	0.0	0.0	1046.677613739078	482.28803856583306	1041.0	1033.0	515.0	462.0	0.0	0.0						7	7	7
1	8			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	2278	1267.0	569.0	1.0	799.3279999999974	0.23033367037411526	0	0	3.2729228648822755	3.3853360791690648	0.001436752794065968	0.0014861001225500723	0.0014343480579555035	0.0014801251236349344	8.795947416937743e-05	1262.1161447333454	1262.1932993175815	546.9258337179649	547.2134157884773	0.0	0.0	1262.4938542581212	547.0987708516242	1298.0	1258.0	459.0	566.0	0.0	0.0						8	8	8
1	9			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	25004	253.0	500.0	1.0	1152.7719999999956	0.6962090520541843	30	21	38.09077591239475	55.031448861118406	0.0015233872945286653	0.002200905809515214	0.0014648661017417908	0.001983672846108675	0.0007086271296279984	238.01371200895412	237.26051368600642	581.9553046754789	583.5904262202705	0.0	0.0	239.18385058390658	579.3071908494641	213.0	208.0	703.0	526.0	0.0	0.0	91.26969666582464	15.216264738226021	238.35128681972284	638.4323268702467	20.5	9	9	9
1	10			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	512	516.0	573.0	1.0	848.4039999999969	0.04900459418070445	0	0	0.6805371174123138	0.6265812159981579	0.0013291740574459254	0.001223791437496402	0.0013275349047034979	0.0012207217514514923	3.624192933753868e-05	560.6804636875266	561.0218688356915	584.7923720262786	584.312958137496	0.0	0.0	561.083984375	584.1953125	558.0	536.0	654.0	528.0	0.0	0.0						10	10	10
1	11			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	2071	997.0	694.0	1.0	836.849999999997	0.1834529187704845	0	1	3.31866941251792	3.0865033944137394	0.0016024478090381072	0.0014903444685725445	0.0016021972987800837	0.0014801251236349344	9.420510905569402e-05	1034.3459347369292	1035.4177897307613	735.071479477123	736.2066553289103	0.0	0.0	1036.6354418155481	737.6697247706422	1012.0	1013.0	694.0	692.0	0.0	0.0						11	11	11
1	12			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	579	1351.0	790.0	1.0	964.575999999997	0.06063144667260066	0	0	0.7454032194800675	0.7075303271412849	0.0012873976156823272	0.0012219867480851208	0.001281757839024067	0.0012207217514514923	3.727997250569991e-05	1318.2936131013305	1318.9436896135267	785.2341862845445	785.4552061766735	0.0	0.0	1318.9706390328151	785.6131260794473	1312.0	1357.0	722.0	789.0	0.0	0.0						12	12	12
1	13			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	13737	836.0	745.0	1.0	1007.969999999996	0.5959135866736073	2	1	20.078233000589535	23.37596703507006	0.0014616170197706583	0.0017016791901485085	0.0014343480579555035	0.0016174563206732273	0.0002644478517335881	767.3334420102339	767.1273068728361	797.4939843915652	798.611705780368	0.0	0.0	765.4893353716241	798.6773676930917	818.0	818.0	747.0	769.0	0.0	0.0	75.2422198371759	5.8715510158058235	817.825	744.68125	36.5	13	13	13
1	14			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	7816	384.0	793.0	1.0	1010.5179999999965	0.4636511938306393	0	0	11.856061643688008	11.956466007744893	0.0015168963208403285	0.0015297423244300017	0.0015106431674212217	0.0015259021893143654	0.0001029760494652371	389.0682572552694	389.11438077407547	871.5651252852364	870.0454460180176	0.0	0.0	388.8412231320369	868.6993346980553	394.0	398.0	943.0	945.0	0.0	0.0						14	14	14
