ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Compactness	AreaShape_Eccentricity	AreaShape_EulerNumber	AreaShape_Extent	AreaShape_FormFactor	AreaShape_MajorAxisLength	AreaShape_MaxFeretDiameter	AreaShape_MaximumRadius	AreaShape_MeanRadius	AreaShape_MedianRadius	AreaShape_MinFeretDiameter	AreaShape_MinorAxisLength	AreaShape_Orientation	AreaShape_Perimeter	AreaShape_Solidity	Children_Cytoplasm_Norm_Count	Children_cytoplasm_nucplus_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_nuclei
1	11			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	10294	1135.0	517.0	1.0	1.228165647924006	0.8185925861254874	1.0	0.4849255700018843	0.5739706634599482	155.31292404839252	183.09560344257315	41.72529209005013	15.51794744937462	13.892443989449804	87.49950494047265	89.20779819453884	19.903445275325797	474.735999999998	0.8891000172741409	1	1	1124.7646201670875	508.1629104332621	0	11	11
1	12			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	12905	630.0	526.0	1.0	1.048998872906207	0.6151678675297043	1.0	0.7315759637188208	0.7283400357030689	145.54409057699402	148.1924424523734	52.20153254455275	18.54919200678513	16.97056274847714	117.08133267749587	114.7464011668221	74.57398948286934	471.86399999999855	0.9691348753379392	1	1	628.4145679969005	511.91111972103835	0	12	12
1	13			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	12660	1093.0	599.0	1.0	1.1741928939242383	0.7791963233422565	1.0	0.5760829996359665	0.6609048066360305	164.55451767769443	175.69291391516052	48.373546489791295	17.765872947402244	16.0	110.8494012974145	103.13947025777028	52.85406978930513	490.6279999999982	0.9273366539701146	1	1	1083.375355450237	583.390047393365	0	13	13
1	14			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	14608	140.0	577.0	1.0	1.2137698468681075	0.8148569744111253	1.0	0.6626746506986028	0.6450020321131185	183.4880998467881	185.73368030596927	50.695167422546305	18.456291484169288	16.492422502470642	110.26477574054819	106.3610911218147	30.631034098179075	533.4819999999984	0.9398745375583081	1	1	134.55175246440308	584.7914156626506	0	14	14
1	15			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	12684	1299.0	596.0	1.0	1.05798074112732	0.6738805521052469	1.0	0.7070234113712375	0.7652668296760063	148.413760437268	147.5127113166862	50.93132631298737	19.286939872884396	17.204650534085253	106.85931530520294	109.65406855012452	37.02551622907733	456.3799999999985	0.9667314507831255	1	1	1290.756307158625	593.6731315042573	0	15	15
1	16			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	11797	437.0	634.0	1.0	1.106617856574715	0.767004281349476	1.0	0.7461733080328906	0.8098081251957524	153.18245132079818	156.52475842498527	50.80354318352215	18.722139147607866	17.0	101.0	98.28829159272358	82.17401413191179	427.85799999999887	0.9802243456584964	1	1	437.5609900822243	629.3233025345427	0	16	16
1	17			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	8370	757.0	637.0	1.0	1.0911777259286262	0.7161109293369516	1.0	0.7142857142857143	0.5654163337258665	124.84995175892163	125.57467897629681	38.897300677553446	14.774641672240714	13.152946437965905	89.75787900218386	87.14357930631081	-1.3531468228748371	431.30399999999895	0.9247086118322931	1	0	767.3617682198327	638.3019115890083	0	17	17
1	18			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	14512	956.0	655.0	1.0	1.301690958432705	0.8272926953950538	1.0	0.6173742874159789	0.4286534217291933	190.8523394524717	179.0111728356641	46.09772228646444	15.4786454467347	13.892443989449804	113.10956442595837	107.21533331777289	31.519103599645923	652.2519999999979	0.8796217723360408	1	1	927.2766675854465	633.0549200661521	0	18	18
1	19			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	10532	62.0	734.0	1.0	1.1741705268070504	0.766486103183427	1.0	0.6411005600194789	0.4280208326043718	149.04995101635	167.35889578985635	46.389654018972806	15.120017252896863	12.529964086141668	99.92467751496918	95.72895451947524	23.274457113393847	556.0679999999983	0.9039179504784791	1	1	65.71486897075579	730.7154386631219	0	19	19
1	20			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	18818	1228.0	771.0	1.0	1.2484597169833318	0.6628285383832142	1.0	0.5002126528442318	0.2231168211535234	195.40680994903235	227.0704736419951	44.28317965096906	13.8105286885424	11.313708498984761	154.3787646471421	146.31499402099823	-45.40394046892516	1029.4979999999953	0.7596939908358733	1	1	1239.1917313210756	787.3718779891593	0	20	20
