ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Perimeter	AreaShape_Solidity	Children_CaprinSG_Count	Children_SG_Count	Intensity_IntegratedIntensity_G3BP	Intensity_IntegratedIntensity_GFP	Intensity_MeanIntensity_G3BP	Intensity_MeanIntensity_GFP	Intensity_MedianIntensity_G3BP	Intensity_MedianIntensity_GFP	Intensity_StdIntensity_GFP	Location_CenterMassIntensity_X_G3BP	Location_CenterMassIntensity_X_GFP	Location_CenterMassIntensity_Y_G3BP	Location_CenterMassIntensity_Y_GFP	Location_CenterMassIntensity_Z_G3BP	Location_CenterMassIntensity_Z_GFP	Location_Center_X	Location_Center_Y	Location_MaxIntensity_X_G3BP	Location_MaxIntensity_X_GFP	Location_MaxIntensity_Y_G3BP	Location_MaxIntensity_Y_GFP	Location_MaxIntensity_Z_G3BP	Location_MaxIntensity_Z_GFP	Mean_CaprinSG_Distance_Centroid_Cytoplasm_Norm	Mean_CaprinSG_Distance_Minimum_Cytoplasm_Norm	Mean_CaprinSG_Location_Center_X	Mean_CaprinSG_Location_Center_Y	Mean_CaprinSG_Number_Object_Number	Number_Object_Number
2	4			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	1554	1200.0	228.0	1.0	739.0859999999975	0.17091948966124065	0	0	2.3429465165827423	2.0964370178990066	0.0015076875911085859	0.0013490585700765808	0.0015106431674212217	0.0013427939265966415	5.898128338836656e-05	1185.6269302158976	1185.3581119441008	225.190686769351	225.32410655797366	0.0	0.0	1184.9916344916344	225.3191763191763	1194.0	1196.0	212.0	220.0	0.0	0.0						4
2	5			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	494	656.0	199.0	1.0	821.8119999999974	0.05450733752620543	0	0	0.6739147019106895	0.6278782328590751	0.0013641998014386426	0.0012710085685406379	0.0013580529484897852	0.0012664988171309233	4.3261838689739095e-05	687.710879655836	687.7061825605133	213.00633986188157	212.8819869738505	0.0	0.0	687.8704453441295	212.3906882591093	681.0	698.0	269.0	274.0	0.0	0.0						5
2	6			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	467	789.0	293.0	1.0	778.5319999999975	0.05981045081967213	0	0	0.6315403981134295	0.5845883877482265	0.0013523348996004915	0.001251795262844168	0.0013580529484897852	0.0012512397952377796	3.655666204914388e-05	799.3288634386779	799.6372060243795	256.67558229438487	256.9975463965963	0.0	0.0	799.8308351177731	256.89935760171306	829.0	761.0	220.0	286.0	0.0	0.0						6
2	7			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	454	510.0	343.0	1.0	771.2899999999976	0.05424133811230585	0	0	0.6112153809517622	0.5760585945099592	0.0013462893853563045	0.0012688515297576194	0.0013427939265966415	0.0012664988171309233	4.0909209246309594e-05	552.1573547034152	552.600974782793	320.3602456560815	320.3503390548845	0.0	0.0	552.715859030837	320.1784140969163	535.0	578.0	363.0	370.0	0.0	0.0						7
2	8			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	7159	257.0	368.0	1.0	1302.3059999999944	0.3383270321361057	0	0	11.317418170860037	9.760158691555262	0.00158086578724124	0.0013633410660085572	0.00158693827688694	0.0013580529484897852	5.370458688072237e-05	234.21396761706757	234.15878661480352	358.3234140547158	358.23503983540536	0.0	0.0	233.82064534152815	358.3930716580528	262.0	270.0	351.0	359.0	0.0	0.0						8
2	9			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	49087	424.0	505.0	1.0	1545.2099999999937	0.7510250917992657	3	2	69.79948117700405	77.44979017041624	0.001421954512946484	0.0015778065510301349	0.0014038300141692162	0.0015106431674212217	0.00024277464271654198	425.6152192604391	425.85461196074135	447.18947058451886	444.4435962371091	0.0	0.0	426.2749200399291	451.0257909426121	423.0	428.0	321.0	328.0	0.0	0.0	128.3711855144721	7.7997150255310315	468.6523771889185	572.0475346941495	2.0	9
2	10			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	32517	860.0	468.0	1.0	1461.4139999999943	0.6268337349397589	0	0	46.34277865709737	44.541863116202876	0.0014251861689915234	0.0013698023531138444	0.0014190890360623598	0.0013580529484897852	6.214098575086949e-05	764.4159872298139	765.3753411639605	435.50283134358926	435.9275576206103	0.0	0.0	765.0629209336655	436.50641203063014	727.0	729.0	410.0	403.0	0.0	0.0						10
2	11			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	15218	1072.0	519.0	1.0	1138.7779999999952	0.5435776539505643	0	3	23.539620044874027	23.060227354057133	0.0015468274441368134	0.0015153257559506594	0.001541161211207509	0.0015106431674212217	0.00014301307610385262	1147.0065328336798	1146.712566137216	477.2133244396562	477.2065360376694	0.0	0.0	1147.33834932317	477.8242870285189	1103.0	1211.0	450.0	413.0	0.0	0.0						11
2	12			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	433	18.0	599.0	1.0	725.6339999999975	0.04762690425122369	0	0	0.6398565650451928	0.559990844456479	0.0014777287876332399	0.0012932813959733926	0.0014648661017417908	0.0012970168609172106	4.226548755374397e-05	60.082441036892185	60.403525981634374	641.508239334176	640.8417668056351	0.0	0.0	60.302540415704385	640.757505773672	41.0	40.0	681.0	680.0	0.0	0.0						12
2	13			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	10887	933.0	713.0	1.0	983.3399999999967	0.5144477259303012	0	0	17.095368882874027	15.288303956156597	0.0015702552478069282	0.0014042715124604204	0.0015564202331006527	0.0013885709922760725	7.599414085028043e-05	972.7867406914834	972.6157773233166	697.4440007319174	697.374910546661	0.0	0.0	973.5822540644806	697.9831909616975	927.0	926.0	678.0	676.0	0.0	0.0						13
2	14			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	16471	607.0	594.0	1.0	1050.0519999999954	0.6040302913618277	0	0	24.163775076391175	25.47353322058916	0.0014670496676820579	0.0015465687098894518	0.0014648661017417908	0.001541161211207509	0.0001561986785634472	633.0967836657989	633.0808526136211	621.46115903719	621.933884347026	0.0	0.0	633.3557768198652	619.9907109465121	625.0	688.0	735.0	665.0	0.0	0.0						14
2	15			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	11733	748.0	659.0	1.0	1043.9499999999955	0.53220538873265	0	0	17.10246432805434	17.38860150659457	0.0014576378017603629	0.0014820251859366375	0.0014343480579555035	0.0014343480579555035	0.0001700575466716917	711.7174605865401	710.2125755334067	722.4495811065211	723.2717860019902	0.0	0.0	714.5948180346032	720.0546322338703	638.0	635.0	779.0	780.0	0.0	0.0						15
2	16			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	4340	146.0	859.0	1.0	934.7159999999968	0.3172514619883041	0	0	6.9416800166945904	5.863401234615594	0.0015994654416346982	0.0013510141093584318	0.0016174563206732273	0.0013580529484897852	5.3219149822851065e-05	134.90285608773354	134.52051486241015	859.8275862068965	859.5149977358961	0.0	0.0	134.21520737327188	859.3582949308756	131.0	129.0	872.0	879.0	0.0	0.0						16
2	17			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	12622	716.0	929.0	1.0	931.7539999999967	0.5975901332765193	0	0	18.637491412460804	20.33644616906531	0.001476587815913548	0.0016111904744941618	0.0014496070798486471	0.001541161211207509	0.00027116183816705216	731.9071039325107	730.0599760344971	874.1983186617412	876.0118987146117	0.0	0.0	733.9153858342577	873.0380288385359	680.0	678.0	900.0	898.0	0.0	0.0						17
2	18			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	20350	1275.0	848.0	1.0	1165.7659999999955	0.6243384620104617	0	0	30.56348515348509	28.73098343727179	0.0015018911623334197	0.0014118419379494736	0.0014801251236349344	0.0013885709922760725	9.902092388899265e-05	1195.4156720642964	1195.2949973046682	865.7567337234857	865.980474112864	0.0	0.0	1198.0788206388206	866.4613267813268	1091.0	1097.0	838.0	832.0	0.0	0.0						18
2	19			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	10605	591.0	811.0	1.0	861.0219999999974	0.5898548306357417	0	1	16.439307236578315	16.780727851437405	0.001550146839847083	0.0015823411458215375	0.001541161211207509	0.0015564202331006527	0.00017216750314700676	595.1643597716619	596.3534474527722	866.8898556643617	867.5833667507786	0.0	0.0	594.9810466760962	866.6371522866573	557.0	668.0	899.0	916.0	0.0	0.0						19
2	20			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	10333	936.0	973.0	1.0	1307.0519999999951	0.4698313099622608	0	0	15.040939952246845	14.193484394345433	0.0014556217896300053	0.0013736073158178103	0.0014343480579555035	0.0013580529484897852	7.97496925084386e-05	924.3272622318171	923.9487007751271	935.6875778628154	935.7716965715945	0.0	0.0	922.4883383334947	935.7732507500242	1013.0	1008.0	935.0	937.0	0.0	0.0						20
2	21			0	SG 40x Cap1-wt FGDF	0	10	A01	A01	384	152.0	949.0	1.0	639.9399999999978	0.053985660059046814	0	0	0.5511863888241351	0.4822003508452326	0.0014353812208961851	0.0012557300803261267	0.0014343480579555035	0.0012512397952377796	3.777817814501289e-05	198.78760865954266	199.22173348944654	936.1859531587398	936.4999841777159	0.0	0.0	199.2734375	936.4921875	249.0	154.0	956.0	917.0	0.0	0.0						21
