ImageNumber	ObjectNumber	Metadata_ChannelNumber	Metadata_FileLocation	Metadata_Frame	Metadata_Plate	Metadata_Series	Metadata_Site	Metadata_Well	Metadata_Well	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Center_Z	AreaShape_Compactness	AreaShape_Eccentricity	AreaShape_EulerNumber	AreaShape_Extent	AreaShape_FormFactor	AreaShape_MajorAxisLength	AreaShape_MaxFeretDiameter	AreaShape_MaximumRadius	AreaShape_MeanRadius	AreaShape_MedianRadius	AreaShape_MinFeretDiameter	AreaShape_MinorAxisLength	AreaShape_Orientation	AreaShape_Perimeter	AreaShape_Solidity	Children_Cytoplasm_Norm_Count	Children_cytoplasm_nucplus_Count	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_nuclei
1	1			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	31921	348.0	136.0	1.0	1.174354941380293	0.6252486265586036	1.0	0.645181502142453	0.4695309285671728	243.0648016010011	280.6314308839977	66.76076692189807	25.05131757322541	23.40939982143925	206.50020490592007	189.69399952275364	-56.46035767017853	924.2959999999966	0.8296340575943445	1	1	335.88794210707687	112.40221171015946	0	1	1
1	2			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	13447	217.0	212.0	1.0	1.3445197934735789	0.8756572214434191	1.0	0.648110661268556	0.6342343355645884	192.84817391838462	181.89282558693733	47.38143096192854	17.325709879446848	16.0	97.82921643255872	93.13277673410172	78.93910526040607	516.1699999999985	0.9108890770533448	1	1	210.57737785379638	178.72350710195582	0	2	2
1	3			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	8838	1156.0	325.0	1.0	1.0813294565997875	0.7349153792768411	1.0	0.7277667984189723	0.4903219651536677	128.89782835814933	131.30879635424276	42.95346318982906	15.572709532512722	13.892443989449804	91.0	87.41319919499617	-80.94531036099593	475.92799999999863	0.9461513756557116	1	0	1154.713736139398	325.6570491061326	0	3	3
1	4			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	9021	117.0	461.0	1.0	1.056108760243209	0.6928493124181787	1.0	0.75175	0.7498378434519039	126.13020840017339	128.57682528356344	44.91102314577124	16.824165792246838	15.0	91.7597581241863	90.95027362112765	-70.94844830968582	388.819999999999	0.9700521533415777	1	0	117.05653475224476	458.15674537191	0	4	4
1	5			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	24545	862.0	504.0	1.0	1.2234167750609088	0.7898743663863429	1.0	0.6342213379499237	0.6709662906680451	235.25160073386851	228.56071403458645	65.14598989960932	24.120313122273977	21.840329667841555	149.48569320054773	144.27244084738297	-8.554991926567798	678.009999999998	0.8965882524839274	1	1	847.6558158484416	494.0930943165614	0	5	5
1	6			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	9198	271.0	514.0	1.0	1.0457963774441623	0.6654463726865456	1.0	0.762370493162039	0.7255547216201799	125.21413766877978	126.4792473095883	46.0	16.948923242817752	15.033296378372908	93.41151304432859	93.46554977990314	-87.63863281177056	399.1319999999989	0.9711751662971173	1	0	270.2484235703414	520.8550771906936	0	6	6
1	7			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	14929	551.0	569.0	1.0	1.5020237739957838	0.9190700517360876	1.0	0.6226643309976644	0.5891760840887441	221.87677378906187	217.99311915746333	40.80441152620633	16.929308900445278	16.0	89.01126552932577	87.44035009516887	-76.85486255908421	564.2839999999981	0.9502864417568428	1	1	555.2420791747605	557.6728514970862	0	7	7
1	8			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	25153	1260.0	609.0	1.0	1.2284645790779243	0.811611377687641	1.0	0.5956474377190489	0.5474032110125746	241.71297805119502	243.88931915932687	64.63745044476924	26.029809231880943	24.698178070456937	156.168004199839	141.208169752307	29.342838456159882	759.8819999999977	0.8489461160706755	1	1	1292.9706198067825	624.1126307001153	0	8	8
1	9			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	32999	1068.0	625.0	1.0	1.1268883773873095	0.768905210550609	1.0	0.6958144438587243	0.7362110066713893	258.7242167313479	273.40263349134	79.60527620704548	29.625538421173626	26.832815729997478	172.89408425790202	165.4186370401143	-85.97555300488563	750.5059999999972	0.9626031912721335	1	1	1060.271311251856	623.4317100518198	0	9	9
1	10			0	SG 40x Cap1-wt FGDF	0	100	A01	A01	38718	364.0	694.0	1.0	1.1759791351606648	0.7556572913566442	1.0	0.6123843416370107	0.692112557440481	284.24574614312587	300.56779601281306	84.31488599292535	30.747224298301294	27.730849247724095	195.25655386174085	186.17164587586598	-22.88996389963407	838.4419999999967	0.952062457736522	1	1	355.14120047523113	688.2354202179864	0	10	10
